TT,Mã Căn,Tầng,Căn Số,Hướng,View,Diện Tích (m2),Đơn Giá (USD/m2),Đơn Giá (VND/m2),Tổng Giá (VND),Tổng Giá Đã Trừ KM,Ghi Chú,Vốn đầu tư (VND),Thu nhập/năm (VND),NPV (VND),IRR (%),Gợi ý
1,A-05-07,5,7,Tây,Công viên,122.51,1732.99,36600749,4483957735,4323957735,,,,,,
2,A-06-07,6,7,Tây,Công viên,122.51,1739.93,36747322,4501914369,4341914369,,,,,,
3,B-06-01,6,1,"Tây, Nam","Sông Sài Gòn, quận 1",115.19,1939.16,40955059,4717613269,4557613269,Căn góc 2 view,,,,,
4,B-06-02,6,2,Tây,"Sông Sài Gòn, quận 1",95.79,1811.79,38265005,3665404810,3505404810,,,,,,
5,B-07-01,7,1,"Tây, Nam","Sông Sài Gòn, quận 1",115.19,1944.09,41059181,4729607036,4569607036,Căn góc 2 view,,,,,
6,B-09-01,9,1,"Tây, Nam","Sông Sài Gòn, quận 1",115.19,1953.95,41267424,4753594571,4593594571,Căn góc 2 view,,,,,
7,B-10-01,10,1,"Tây, Nam","Sông Sài Gòn, quận 1",115.19,1978.08,41777050,4812298343,4652298343,"Nhà mẫu, bán kèm nội thất",,,,,
8,B-10-09,10,9,Nam,"Sông Sài Gòn, quận 1",105.92,1918.7,40522944,4292190228,4132190228,"Nhà mẫu, bán kèm nội thất",,,,,
9,B-12B-01,12B,1,"Tây, Nam","Sông Sài Gòn, quận 1",115.19,1946.96,42165869,4857086427,4697086427,Căn góc 2 view,,,,,
10,B-12B-09,12B,9,Nam,"Sông Sài Gòn, quận 1",105.92,1936.57,40900358,4332165962,4172165962,Căn hộ 3 phòng ngủ,,,,,
11,A-08-04,8,4,,"Sông Sài Gòn, quận 1",134.5,1770.24,37387468,5028614554,4848614554,Căn hộ 3 phòng ngủ,,,,,
12,A-12-04,12,4,,"Sông Sài Gòn, quận 1",134.5,1820.01,38438611,5169993206,4989993206,Căn hộ 3 phòng ngủ,,,,,
13,A-12B-06,12B,6,,"Sông Sài Gòn, quận 1",136.96,1939.7,40966464,5610766909,5430766909,Căn hộ 3 phòng ngủ,,,,,
14,A-12B-08,12B,8,,"Sông Sài Gòn, quận 1",132.06,1831.25,38676000,5107552560,4927552560,Căn hộ 3 phòng ngủ,,,,,
15,A-21-04,21,4,,"Sông Sài Gòn, quận 1",134.5,1896.95,40061472,5388267984,5208267984,Căn hộ 3 phòng ngủ,,,,,
16,A-27-04,27,4,,"Sông Sài Gòn, quận 1",134.5,1942.84,41032781,5518909018,5338909018,Căn hộ 3 phòng ngủ,,,,,
17,A-28-04,28,4,,"Sông Sài Gòn, quận 1",134.56,1950.59,41196461,5540923978,5360923978,Căn hộ 3 phòng ngủ,,,,,
18,B-06-02,6,2,Tây,"Sông Sài Gòn, quận 1",95.79,1811.79,38265005,3665404810,3505404810,,,,,,
19,A-08-04,8,4,,"Sông Sài Gòn, quận 1",134.5,1770.24,37387468,5028614554,4848614554,Căn hộ 3 phòng ngủ,,,,,
20,A-12B-08,12B,8,,"Sông Sài Gòn, quận 1",132.06,1831.25,38676000,5107552560,4927552560,Căn hộ 3 phòng ngủ,,,,,
21,B-12B-01,12B,1,"Tây, Nam","Sông Sài Gòn, quận 1",115.19,1946.96,42165869,4857086427,4697086427,Căn góc 2 view,,,,,
22,B-12B-01,12B,1,"Tây, Nam","Sông Sài Gòn, quận 1",115.19,1946.96,42165869,4857086427,4697086427,Căn góc 2 view,,,,,
23,A-12B-08,12B,8,,"Sông Sài Gòn, quận 1",132.06,1831.25,38676000,5107552560,4927552560,Căn hộ 3 phòng ngủ,,,,,
24,A-08-04,8,4,,"Sông Sài Gòn, quận 1",134.5,1770.24,37387468,5028614554,4848614554,Căn hộ 3 phòng ngủ,,,,,
25,A-12-04,12,4,,"Sông Sài Gòn, quận 1",134.5,1820.01,38438611,5169993206,4989993206,Căn hộ 3 phòng ngủ,,,,,
26,B-10-09,10,9,Nam,"Sông Sài Gòn, quận 1",105.92,1918.7,40522944,4292190228,4132190228,"Nhà mẫu, bán kèm nội thất",,,,,
27,A-28-04,28,4,,"Sông Sài Gòn, quận 1",134.56,1950.59,41196461,5540923978,5360923978,Căn hộ 3 phòng ngủ,,,,,
28,B-12B-01,12B,1,"Tây, Nam","Sông Sài Gòn, quận 1",115.19,1946.96,42165869,4857086427,4697086427,Căn góc 2 view,,,,,
29,B-12B-01,12B,1,"Tây, Nam","Sông Sài Gòn, quận 1",115.19,1946.96,42165869,4857086427,4697086427,Căn góc 2 view,,,,,
30,B-06-01,6,1,"Tây, Nam","Sông Sài Gòn, quận 1",115.19,1939.16,40955059,4717613269,4557613269,Căn góc 2 view,,,,,
31,A-08-04,8,4,,"Sông Sài Gòn, quận 1",134.5,1770.24,37387468,5028614554,4848614554,Căn hộ 3 phòng ngủ,,,,,
31,A-12B-08,12B,8,,"Sông Sài Gòn, quận 1",132.06,1831.25,38676000,5107552560,4927552560,Căn hộ 3 phòng ngủ,,,,,
33,A-08-04,8,4,,"Sông Sài Gòn, quận 1",134.5,1770.24,37387468,5028614554,4848614554,Căn hộ 3 phòng ngủ,,,,,
34,B-06-01,6,1,"Tây, Nam","Sông Sài Gòn, quận 1",115.19,1939.16,40955059,4717613269,4557613269,Căn góc 2 view,,,,,
35,A-12B-06,12B,6,,"Sông Sài Gòn, quận 1",136.96,1939.7,40966464,5610766909,5430766909,Căn hộ 3 phòng ngủ,,,,,
36,A-21-04,21,4,,"Sông Sài Gòn, quận 1",134.5,1896.95,40061472,5388267984,5208267984,Căn hộ 3 phòng ngủ,,,,,
37,B-07-01,7,1,"Tây, Nam","Sông Sài Gòn, quận 1",115.19,1944.09,41059181,4729607036,4569607036,Căn góc 2 view,,,,,
38,A-05-07,5,7,Tây,Công viên,122.51,1732.99,36600749,4483957735,4323957735,,,,,,
39,A-27-04,27,4,,"Sông Sài Gòn, quận 1",134.5,1942.84,41032781,5518909018,5338909018,Căn hộ 3 phòng ngủ,,,,,
40,B-12B-01,12B,1,"Tây, Nam","Sông Sài Gòn, quận 1",115.19,1946.96,42165869,4857086427,4697086427,Căn góc 2 view,,,,,
41,B-06-01,6,1,"Tây, Nam","Sông Sài Gòn, quận 1",115.19,1939.16,40955059,4717613269,4557613269,Căn góc 2 view,,,,,
42,A-08-04,8,4,,"Sông Sài Gòn, quận 1",134.5,1770.24,37387468,5028614554,4848614554,Căn hộ 3 phòng ngủ,,,,,
43,A-12B-08,12B,8,,"Sông Sài Gòn, quận 1",132.06,1831.25,38676000,5107552560,4927552560,Căn hộ 3 phòng ngủ,,,,,
